ha0dicapped-i0fa0ts,water-project-cost-shari0g,adoptio0-of-the-budget-resolutio0,ph1sicia0-fee-freeze,el-salvador-aid,religious-groups-i0-schools,a0ti-satellite-test-ba0,aid-to-0icaragua0-co0tras,mx-missile,immigratio0,s10fuels-corporatio0-cutback,educatio0-spe0di0g,superfu0d-right-to-sue,crime,dut1-free-exports,export-admi0istratio0-act-south-africa,class
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,?,democrat
1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,?,democrat
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,democrat
1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,democrat
1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,democrat
0,?,1,0,1,1,0,1,0,0,1,0,0,0,0,?,democrat
1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,?,democrat
0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,?,democrat
1,0,1,0,0,0,1,1,1,?,1,0,0,0,1,?,democrat
?,?,0,0,?,1,?,0,0,0,1,1,0,1,0,?,democrat
1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,democrat
1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,republican
?,?,?,?,0,1,0,1,1,0,0,1,1,0,0,?,republican
1,1,?,?,?,1,0,0,0,0,1,0,1,0,0,1,democrat
1,1,1,?,0,0,0,1,0,0,1,?,0,0,1,1,democrat
1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,democrat
1,1,0,0,1,?,0,0,0,0,1,0,1,1,0,1,democrat
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,democrat
0,1,0,1,?,1,0,0,0,1,0,1,1,1,0,0,republican
0,1,0,1,1,1,0,?,0,0,?,?,?,1,0,?,republican
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,republican
?,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,republican
0,1,0,1,1,1,0,0,0,1,0,1,?,1,0,0,republican
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,republican
1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,democrat
0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,democrat
1,0,1,0,0,1,1,1,1,0,0,1,?,1,1,1,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,republican
0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,republican
1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,republican
1,1,1,1,1,1,1,1,0,1,?,?,?,1,0,1,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,democrat
0,1,1,0,0,1,1,1,?,1,0,0,0,0,0,1,democrat
1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,republican
1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,democrat
1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,democrat
1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,republican
0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,democrat
0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,democrat
0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,democrat
0,1,1,0,0,?,1,1,1,1,1,0,?,1,1,1,democrat
0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,?,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,democrat
0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,republican
?,?,?,0,0,0,1,1,1,1,0,0,1,0,1,1,democrat
1,0,1,0,?,0,1,1,1,1,0,1,0,?,1,1,democrat
0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,republican
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,democrat
0,?,0,1,1,1,0,0,0,0,1,1,1,1,0,1,republican
0,0,0,1,1,1,?,?,?,?,0,1,1,1,0,1,republican
0,1,0,1,1,1,0,0,0,1,0,1,1,1,?,0,republican
